Hospital_Name,Latitude,Longitude
St. Charles Hospital,51.522362,-0.217218
St. George's Hospital,51.426682,-0.175694
St. Michael's Hospital,51.661915,-0.083724
St. Thomas' Hospital,51.497959,-0.118905
Sutton Hospital,51.345455,-0.191069
Teddington Memorial Hospital,51.425838,-0.340999
The Blackheath Hospital,51.463474,0.006265
The Blackheath Hospital Outpatients Centre,51.465374,0.007169
The Clementine Churchill Hospital,51.564966,-0.332709
The Huntercombe Roehampton Hospital,51.447797,-0.241049
The Institute of Cancer Research,51.488957,-0.175856
The Kings Oak Hospital,51.667899,-0.105568
The Lister Fertility Clinic,51.492074,-0.157768
The Lister Hospital,51.486519,-0.150502
The London Chest Hospital,51.532184,-0.049499
The London Clinic,51.523022,-0.150076
The London Independent Hospital,51.520402,-0.046744
The Portland Hospital,51.523236,-0.143696
The Priory Hospital,51.464947,-0.21734
The Royal Cancer Hospital,51.488957,-0.175856
The Royal Cancer Hospital Institute Of Cancer Research,51.484308,-0.181644
"The Royal National Ear, Nose & Throat Hospital",51.529203,-0.119189
The Royal National Orthopaedic Hospital,51.632566,-0.310435
The Sloane Hospital,51.408332,-0.00436
Tolworth Hospital,51.379435,-0.288993
University College Hospital,51.524891,-0.136911
University College Hospital McMillan Cancer Centre,51.524045,-0.135158
University Hospital Lewisham,51.454329,-0.017051
Wellington Hospital,51.531549,-0.171472
West Middlesex University Hospital,51.473648,-0.324434
Western Eye Hospital,51.520703,-0.16333
Weymouth Street Hospital,51.520217,-0.150694
Whipps Cross University Hospital,51.578831,0.002638
Whittington Hospital,51.566311,-0.138637
Willesden Hospital,51.542836,-0.235526
